Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q int,Time
run_0095,det4,0.000643365,5.72323e-05,384.313,34.1876,15.2394,0.72075,1,0,597348,1017
run_0095,det5,0.000642982,4.92069e-05,384.084,29.3937,12.6119,0.970042,1,0,597348,1017
run_0095,det6,0.000656762,5.8753e-05,392.316,35.096,13.3594,0.882755,1,0,597348,1017
run_0095,det7,0.000662505,5.38139e-05,395.746,32.1456,13.4758,1.08414,1,0,597348,1017
run_0095,det8,0.000597258,4.91064e-05,356.771,29.3336,10.266,1.2282,1,0,597348,1017
run_0095,det9,0.000730421,5.19883e-05,436.316,31.0551,12.426,1.01645,1,0,597348,1017
run_0095,det10,0.000386175,6.75143e-05,230.681,40.3295,18.5481,1.04634,1,0,597348,1017
run_0095,det11,0.000602967,7.66131e-05,360.181,45.7647,14.9266,1.10732,1,0,597348,1017
run_0095,det12,0.000812377,5.4638e-05,485.272,32.6379,13.8331,1.09853,1,0,597348,1017
run_0096,det0,0.000464591,5.9388e-05,228.168,29.1664,11.9242,1.4425,1,0,491116,837
run_0096,det1,0.000372852,4.52467e-05,183.114,22.2214,10.0717,1.12196,1,0,491116,837
run_0096,det2,0.000172166,3.93003e-05,84.5533,19.301,6.95235,1.21463,1,0,491116,837
run_0096,det3,0.000436185,5.00576e-05,214.217,24.5841,12.3747,0.846998,1,0,491116,837
run_0096,det4,0.000347767,4.64294e-05,170.794,22.8022,11.197,0.8812,1,0,491116,837
run_0096,det5,0.000374797,6.11394e-05,184.069,30.0266,16.8416,1.18033,1,0,491116,837
run_0096,det6,0.000405488,4.48886e-05,199.142,22.0455,10.7749,0.990766,1,0,491116,837
run_0096,det7,0.000348061,5.15048e-05,170.938,25.2948,13.2453,1.0518,1,0,491116,837
run_0096,det8,0.000390838,5.00187e-05,191.947,24.565,12.4638,1.23047,1,0,491116,837
run_0096,det9,0.000472133,5.34809e-05,231.872,26.2653,12.4616,1.01643,1,0,491116,837
run_0096,det10,0.000326991,0.000163478,160.591,80.2864,21.8394,1.0886,1,0,491116,837
run_0096,det11,0.000297186,7.28599e-05,145.953,35.7827,13.7641,0.752973,1,0,491116,837
run_0096,det12,0.000434324,4.60615e-05,213.304,22.6215,11.4863,1.0288,1,0,491116,837
