,a0,a1,a2,a0_err,a1_err,a2_err,Chi2,Pval,Chi2NDF
3.0176,0.0015993698273760258,0.00019643598784645222,-0.0001313156795444254,1.2991186447919496e-05,2.4942663157767872e-05,2.852798891615545e-05,10.780416651502883,0.02914588752044723,2.6951041628757206
3.0181,0.0016131787912074967,0.00023528468717214004,-0.00014005521129460859,1.7096253236434203e-05,3.293078853204409e-05,3.77968735040004e-05,2.7182683531244387,0.6060216913917518,0.6795670882811097
3.0185,0.0016155955336476329,0.00018899559918432863,-0.00013530116011151692,1.7313103564744845e-05,3.3340719259283856e-05,3.812596714866954e-05,5.527110272753926,0.23735672262708402,1.3817775681884814
3.0195,0.0016401975590884454,0.00021099268861447177,-0.0001886319167782708,1.8666492744278187e-05,3.585963788226522e-05,4.118880842302896e-05,1.1865702256428377,0.8803047546465405,0.2966425564107094
3.0217,0.0016255296426937254,0.0002137209234186312,-0.00012761862618355284,1.8298291515642683e-05,3.502603784421705e-05,4.035848708466401e-05,6.431166120724331,0.16917947444175335,1.6077915301810828
3.0254,0.001646766334457503,0.00022124771409136258,-0.0001474738919494561,1.760495535837678e-05,3.377983708364862e-05,3.876681687294004e-05,6.392449980766252,0.17169430480508135,1.598112495191563
3.0294,0.001717067007844939,0.00023778777739053643,-0.000145788279084924,1.6951276488044784e-05,3.263293137981035e-05,3.750369546431439e-05,4.111569577663361,0.39111707373004934,1.0278923944158402
3.0315,0.0017795249617602927,0.00022354655129650696,-0.00017764851310521097,1.3782440480271006e-05,2.6429251213057386e-05,3.028610384006908e-05,12.176638897132884,0.016084950955954087,3.044159724283221
3.0325,0.0018050399495749155,0.00025111238308635924,-0.0001756542479275521,1.928637630994246e-05,3.6937050019752895e-05,4.253229394750569e-05,5.288366282297585,0.2589679669295041,1.3220915705743963
3.0331,0.0018642195338114899,0.000263061626400299,-0.00016746800514013012,1.8287258137459846e-05,3.514015340413645e-05,4.037974003168296e-05,6.690922411350558,0.15315124655613105,1.6727306028376394
3.0335,0.001959070853241205,0.00024731004506834916,-0.0001468322214897848,1.61850232519077e-05,3.1066979388857615e-05,3.5733050905552e-05,14.289841748541425,0.006425207539195515,3.5724604371353563
3.0338,0.0021100618184258504,0.0003062673674892433,-0.0001951679545837857,1.4088456638558546e-05,2.7073961145051714e-05,3.123442388162831e-05,12.747262861458388,0.012579068023483747,3.186815715364597
3.034,0.0023470892112883225,0.00038305005190449916,-0.00020286334553608907,1.9700766739880284e-05,3.791572221128993e-05,4.381800832230802e-05,6.825536508889552,0.14540009800805345,1.706384127222388
3.0343,0.0030259641922847,0.0004713454991757799,-0.00028576601375991445,2.6341704905204138e-05,5.053834297311891e-05,5.865737424128089e-05,11.365689666618188,0.022747476491937625,2.841422416654547
3.0345,0.0035352705629849825,0.0006843705107512222,-0.0003069643254125136,2.917240965453663e-05,5.619050582510562e-05,6.54371769453666e-05,6.552560829920898,0.16150860675398016,1.6381402074802245
3.0354,0.002398739599093547,0.00036232610952063394,-0.00020642691763907844,2.259555296159964e-05,4.34182885508392e-05,5.022384117178784e-05,8.03960814997207,0.09013802512529565,2.0099020374930174
3.0365,0.002015315590649997,0.0002764167904896553,-0.00019015001128429862,1.9625146135626247e-05,3.769248126384945e-05,4.3390837409109764e-05,5.90324991771843,0.20649107609505885,1.4758124794296075
3.0375,0.0019899278450529866,0.00024620958248727093,-0.0001464094743125386,2.0592578271428364e-05,3.952884605929744e-05,4.546874748705252e-05,4.871163522401195,0.3007741924174837,1.2177908806002988
3.0385,0.0020162861431228403,0.00021585380323952872,-0.00017392591608313655,2.1080249102907828e-05,4.053238381681066e-05,4.6382569513693824e-05,5.05151223301115,0.28205274060546487,1.2628780582527874
3.0395,0.002030592451338675,0.0002530899639739451,-0.0001264136333218634,1.619515688500211e-05,3.124420429880759e-05,3.588174284888163e-05,7.207164607571422,0.1253372040103823,1.8017911518928555
3.0415,0.0020695294728116757,0.00026763251101489627,-0.00018613525906588683,1.896435053872514e-05,3.634424807614353e-05,4.176718246981093e-05,10.929573763436553,0.027367014669504978,2.732393440859138
3.0454,0.002200668383168636,0.00029739932922293565,-0.00020571459415642248,2.100531947458252e-05,4.03093188061428e-05,4.640367118822096e-05,10.961049576207579,0.027005268693984088,2.7402623940518946
3.0495,0.0022765294306261435,0.000258299115607681,-0.0002108347234279521,2.0681975711395154e-05,3.966307332970544e-05,4.557369713760736e-05,7.739516726677387,0.10159976621646685,1.9348791816693467
3.0535,0.0025539950541121187,0.00031270716566010517,-0.00019037949711575705,2.1827327190888132e-05,4.1826162006743255e-05,4.826731266689792e-05,10.290728013596466,0.03580506091314456,2.5726820033991165
3.0575,0.003261115250492841,0.00038294703448396843,-0.0003079820224556598,2.501880236960169e-05,4.798147622058375e-05,5.524461556472529e-05,9.143493003884302,0.05761121980056618,2.2858732509710755
3.0595,0.004033253282358477,0.0004661712398621623,-0.00034684167280962363,2.6869570272490024e-05,5.143357384338702e-05,5.9321895179963884e-05,8.460670650524563,0.07608836372359032,2.1151676626311406
3.06,0.0043095114298466256,0.0005633058013472633,-0.00039270274346472206,2.968237265603984e-05,5.664197809125103e-05,6.551653826873677e-05,22.1103578745648,0.00019053310816596615,5.5275894686412
3.0605,0.004617997353181875,0.0005624425941971475,-0.0003732299097044846,3.271625912806766e-05,6.26132492233955e-05,7.227862154752427e-05,11.658366819995765,0.020081057868330827,2.914591704998941
3.0608,0.004836832100075478,0.0005607956353440649,-0.0004612120879305308,3.060306158869277e-05,5.8561972364418256e-05,6.752166390793425e-05,13.498260795686909,0.009081192453590252,3.374565198921727
3.061,0.00496804998428171,0.0006378173927270043,-0.00040091416065660915,3.411860487557371e-05,6.531769780045544e-05,7.556887618200773e-05,14.375527807018694,0.0061881254672638145,3.5938819517546734
3.0613,0.005216794738047803,0.0006092535304772139,-0.0004634947535427083,3.436853522764406e-05,6.575218005533641e-05,7.576698204602156e-05,10.840892385136229,0.028411576975895487,2.710223096284057
3.0615,0.00539922445059721,0.0006693326641789717,-0.0004929484936602472,3.495181388902465e-05,6.670397226041203e-05,7.734309226614558e-05,13.472625949119829,0.009183124614349112,3.368156487279957
3.0618,0.0056035847318360804,0.000682238985727605,-0.00047756039572648037,3.516595433935594e-05,6.740502124125407e-05,7.761848517552707e-05,14.699521500238953,0.00536677631582958,3.6748803750597383
3.0621,0.005990073733621347,0.0007212680448703385,-0.0005624392588260401,3.30365842971166e-05,6.30989427347667e-05,7.283140701133342e-05,23.2518701395559,0.00011276753930580737,5.812967534888975
3.0623,0.006068253938242629,0.0007546207544029517,-0.0005421249930019304,3.5292621039359045e-05,6.742146845172224e-05,7.805608528295801e-05,22.060112590886185,0.0001949732699688052,5.515028147721546
3.0626,0.006336110097235228,0.0007743863717725348,-0.0006756509043918963,3.803480331082395e-05,7.248363261749943e-05,8.382006208020254e-05,21.344749532922542,0.0002705239706304841,5.3361873832306355
3.0627,0.006478221329318339,0.0007665443443045632,-0.000619077963286245,3.8743802881350066e-05,7.382721180797037e-05,8.534869740323883e-05,20.366099791342638,0.00042278335810602626,5.0915249478356595
3.063,0.006562081585861946,0.0007956791696577545,-0.0006200886659696453,2.2013636242435684e-05,4.203137648294188e-05,4.856825053904789e-05,65.09112374202695,2.46193815728367e-13,16.272780935506738
3.0632,0.006640564517945195,0.0007429799153344371,-0.0006051134535844816,2.0983965436405064e-05,4.013347183761681e-05,4.628727972919678e-05,48.425690365198825,7.693373250196327e-10,12.106422591299706
3.0635,0.006709660430529593,0.0007786234866491801,-0.0005878776455855821,2.2356908386327012e-05,4.2789824359405716e-05,4.935568408769187e-05,42.059271926029865,1.6216325958779002e-08,10.514817981507466
