,a0,a1,a2,a3,a4,a0_err,a1_err,a2_err,a3_err,a4_err,Chi2,Pval,Chi2NDF
3.0937,0.001501848835655628,-0.0018173111694705923,0.0018651223736603217,-0.0010561408283116247,0.0003005844777839717,0.0012789950165399025,0.0029698881125822547,0.002874530684771823,0.001625349020758245,0.0004529091409522304,10470.78087936114,0.0,5235.39043968057
3.0946,0.0033607717241842527,-0.006123243813691115,0.006079800167437366,-0.003472888985160294,0.0009489977743394884,0.0014222680159467445,0.0033040433692180207,0.0032057227627279644,0.0018230440387015992,0.0005104747727528768,109695.7958473204,0.0,54847.8979236602
3.0955,0.0006230571017283859,0.00024025627894697088,-4.9860461747597284e-05,-2.7096742980070587e-05,-6.131740787340689e-07,0.0017699298849075686,0.004112672191557001,0.003988784832342472,0.0022658845671842914,0.0006345282350811148,64.11989742724256,1.1927273652564186e-14,32.05994871362128
3.0975,0.0013942571933666104,-0.0014641656377565315,0.0015538625490767455,-0.0008739591649429279,0.00024049931853215023,0.0014155335740295004,0.0032872555527376497,0.0031859173276920327,0.001807236329898162,0.0005053868657060914,6206.380255980268,0.0,3103.190127990134
3.0978,0.0032820885421862567,-0.005833711712412981,0.005837153032018261,-0.0033807857634341465,0.0008964720280133509,0.0013980457442234306,0.0032454384176496672,0.0031410212233270803,0.0017769422197236638,0.0004952855396378028,86283.07261654647,0.0,43141.53630827324
3.099,0.002014370922339137,-0.0026400937867139262,0.00272772387660547,-0.00154116514917213,0.00034265098081293077,0.0012400683493305705,0.002879328911569811,0.00278887936768484,0.0015807362033453147,0.00044132283333150717,24882.047156859717,0.0,12441.023578429858
3.0991,0.002264836931843539,-0.0032617336903175698,0.003241263167010011,-0.0017319227829959427,0.00033697193596721187,0.0017926777787379995,0.004165271600468747,0.004041484370911136,0.0022990866718784514,0.0006451184453143802,20138.053511134385,0.0,10069.026755567193
3.0994,0.0020010829222174564,-0.0025571554018966047,0.002608053230257923,-0.001442897332639248,0.000317847286063877,0.0014246262873615191,0.003310326973501569,0.003211986967633966,0.001827019687879631,0.0005127497523097779,20044.916333543395,0.0,10022.458166771698
3.0995,0.0021082075124834176,-0.0026545857049469213,0.00277316057394561,-0.0016128058662283618,0.00039493063734163947,0.0012947701939915002,0.0030069128776335076,0.0029118018404473076,0.001647981786780285,0.0004597838097390971,23150.76973412859,0.0,11575.384867064295
3.1,0.005382130869065804,-0.009890446647629059,0.009789615956974806,-0.005428317852693709,0.0013087371425979932,0.0017588939481381085,0.004084483939313053,0.003957788469630308,0.0022455397719036863,0.0006286592879997009,168431.00763467842,0.0,84215.50381733921
3.1001,0.0031761070828122406,-0.004880603586424392,0.004964048137009236,-0.002798374289752381,0.0006429059981469809,0.0017401149925308894,0.004042928817497566,0.003922568219342463,0.002230265013374204,0.000624934603514279,48614.956044497,0.0,24307.4780222485
3.1005,0.003197210649422022,-0.003621348397265578,0.0038410866315135017,-0.0021024822766300133,0.000408110777475601,0.0034281252762427107,0.007961329929009501,0.007716909088839413,0.004380651962285823,0.0012257663817896417,6686.932058144168,0.0,3343.466029072084
3.1007,0.006582521991644441,-0.010771021558035443,0.010925377746254128,-0.005935487844006104,0.001318728975751693,0.0020458466683586536,0.00475301062078364,0.00460965106600437,0.0026187408518313793,0.0007343718578450705,165187.55344291218,0.0,82593.77672145609
3.1008,0.0049329647379348085,-0.008127871043734913,0.008237239071623659,-0.004624014303219903,0.001092423777130147,0.0018474522530937156,0.004292561112671673,0.00416493292442807,0.0023679787728420575,0.0006639551888975726,119576.50142163323,0.0,59788.25071081662
3.101,0.004068253712460557,-0.005735892031031753,0.00594672619424319,-0.003262994593074886,0.0006465026631974347,0.0021779295158232408,0.0050611256653786164,0.004910114750274268,0.002791889235209642,0.000783453204365093,44181.82727056803,0.0,22090.913635284014
3.1012,0.00310321948794412,-0.002538696636390725,0.0032542783067377457,-0.0018976068609082297,0.0003574468999727465,0.0020761327048163377,0.004824949371224966,0.004682857079150899,0.002663780725126986,0.0007475986864707428,12896.656964716029,0.0,6448.328482358014
3.1016,0.008046971146506099,-0.011696585189858055,0.012386080102007924,-0.006670792208080201,0.0014806036587966531,0.0027182619450160416,0.006318283912071798,0.006134865885790225,0.0034936288484784857,0.0009827552122831588,128950.51380670449,0.0,64475.256903352245
3.1018,0.009662125994121862,-0.01416352389700215,0.015105569497659843,-0.008225204825614618,0.0018445416938674963,0.0029048985908459923,0.006752022667000436,0.006552095087403133,0.0037269801017936785,0.001048299721913706,158715.68330242654,0.0,79357.84165121327
3.102,0.012022640564919307,-0.019263243752495995,0.020314660121032446,-0.011263249156678867,0.0027556099487473507,0.0030037508134340535,0.006982141774129515,0.006775822402708357,0.0038529476130954713,0.0010828646215023652,274765.91554652713,0.0,137382.95777326357
3.1022,0.010638613067805114,-0.016332214017785063,0.017137909032458154,-0.009222532101383685,0.0020837545093603804,0.0031479122310153957,0.007316736914430408,0.007102024056760992,0.004041062348919967,0.0011362261509044705,180894.56747344727,0.0,90447.28373672364
3.1025,0.011609061766429285,-0.019970242224840007,0.020463194934133178,-0.011222581135897691,0.002667112495980728,0.002952429889900121,0.006861837638819394,0.006661391413205748,0.0037913692453465137,0.0010657639268895304,300638.93975892494,0.0,150319.46987946247
