Run,Angle,Detector,Ep,Q int,Yield,Yield effcor,Yield err,Yield err effcor
518,90,2,2353.6,223727.0,0.0224354,1.7370658044426502e-09,0.000376463,2.914773099378185e-11
518,45,3,2353.6,223727.0,0.0461465,2.209722743145161e-09,0.0005052069999999999,2.4191810817638112e-11
518,30,4,2353.6,223727.0,0.046997000000000004,2.1702907336215656e-09,0.000514976,2.3781254991542e-11
518,15,5,2353.6,223727.0,0.0490244,2.2317855732352826e-09,0.000525489,2.3922348240750224e-11
518,0,6,2353.6,223727.0,0.047224300000000004,2.146906191995465e-09,0.000513824,2.335941299703495e-11
518,-15,7,2353.6,223727.0,0.0464637,2.1296138375645927e-09,0.000516196,2.3659289821850017e-11
518,-30,8,2353.6,223727.0,0.0449093,2.0105538842635016e-09,0.000501437,2.244893837275214e-11
518,-45,9,2353.6,223727.0,0.04273540000000001,1.9948728332091296e-09,0.00048278599999999997,2.2536273807047613e-11
518,-90,10,2353.6,223727.0,0.0157903,1.2656279149299103e-09,0.000356144,2.85457393548443e-11
518,-105,11,2353.6,223727.0,0.0421575,2.0316854066904682e-09,0.0005039469999999999,2.4286586387841816e-11
518,-120,12,2353.6,223727.0,0.0433373,1.8573617836937934e-09,0.000496104,2.12621600869834e-11
519,120,0,2352.8,177747.0,0.0398174,1.7072367994780408e-09,0.000557226,2.3891985233238498e-11
519,105,1,2352.8,177747.0,0.025608099999999995,1.1878212998295894e-09,0.00045220199999999996,2.0975205791352738e-11
519,90,2,2352.8,177747.0,0.017324799999999998,1.3413764697223146e-09,0.000383814,2.9716883793752337e-11
519,45,3,2352.8,177747.0,0.0366278,1.7539202906259918e-09,0.000516044,2.4710739996827525e-11
519,30,4,2352.8,177747.0,0.0377383,1.7427300209083714e-09,0.000528579,2.4409432637975906e-11
519,15,5,2352.8,177747.0,0.039300999999999996,1.7891377520932399e-09,0.000540656,2.4612810373673006e-11
519,0,6,2352.8,177747.0,0.0392176,1.782906433238848e-09,0.000531021,2.414122121407038e-11
